,industry_code_wage,industry_title_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
175,3113,Sugar and confectionery product manufacturing,2009.25,838.0,146.0,17.42243436754177,2015.0,2022.0,2.0,0.09891196834817012
176,3114,Fruit and vegetable preserving and specialty,2007.25,0.0,0.0,,2010.5,1922.0,173.0,9.001040582726327
177,3115,Dairy product manufacturing,2009.25,976.0,127.0,13.012295081967212,2011.5,1784.0,222.0,12.443946188340806
178,3116,Animal slaughtering and processing,2007.25,0.0,0.0,,2007.25,4130.0,-135.0,-3.2687651331719128
179,3117,Seafood product preparation and packaging,2007.25,0.0,0.0,,2007.25,882.0,-53.0,-6.00907029478458
180,3118,Bakeries and tortilla manufacturing,2007.25,0.0,0.0,,2010.5,11345.0,1362.0,12.005288673424417
181,3119,Other food manufacturing,2011.0,1027.0,95.0,9.250243427458617,2010.0,3572.0,824.0,23.06830907054871
182,3121,Beverage manufacturing,2007.25,1269.0,-1269.0,-100.0,2009.25,4842.0,2932.0,60.553490293267245
183,3122,Tobacco manufacturing,2007.25,0.0,0.0,,2007.25,201.0,-17.0,-8.45771144278607
184,3131,"Fiber, yarn, and thread mills",2010.0,641.0,127.0,19.81279251170047,2007.25,485.0,-89.0,-18.350515463917525
185,3132,Fabric mills,2007.25,0.0,0.0,,2007.25,1482.0,-358.0,-24.156545209176787
186,3133,Textile and fabric finishing mills,2010.0,791.0,173.0,21.871049304677623,2007.25,1911.0,-507.0,-26.53061224489796
187,3141,Textile furnishings mills,2010.0,705.0,134.0,19.00709219858156,2007.25,2802.0,-819.0,-29.229122055674516
188,3149,Other textile product mills,2009.25,0.0,784.0,inf,2007.25,5386.0,-511.0,-9.48756034162644
189,3151,Apparel knitting mills,2010.0,698.0,-29.0,-4.154727793696275,2007.25,551.0,-262.0,-47.54990925589836
190,3152,Cut and sew apparel manufacturing,2007.25,0.0,0.0,,2007.25,8217.0,-2209.0,-26.88329073871242
191,3159,Accessories and other apparel manufacturing,2010.0,793.0,13.0,1.639344262295082,2007.25,769.0,-71.0,-9.232769830949286
192,3161,Leather and hide tanning and finishing,2010.0,882.0,244.0,27.66439909297052,2007.25,279.0,-12.0,-4.301075268817205
193,3162,Footwear manufacturing,2013.25,786.0,-1.0,-0.1272264631043257,2007.25,314.0,-36.0,-11.464968152866243
194,3169,Other leather product manufacturing,2012.25,0.0,1042.0,inf,2007.25,818.0,-33.0,-4.034229828850855
195,3211,Sawmills and wood preservation,2010.0,695.0,64.0,9.20863309352518,2007.25,4339.0,-772.0,-17.792117999539066
196,3212,Plywood and engineered wood product mfg.,2007.25,0.0,0.0,,2007.25,2192.0,-609.0,-27.782846715328468
197,3219,Other wood product manufacturing,2007.25,685.0,-685.0,-100.0,2007.25,10939.0,-1601.0,-14.635707103025872
198,3221,"Pulp, paper, and paperboard mills",2010.25,1487.0,42.0,2.824478816408877,2007.25,915.0,-133.0,-14.535519125683061
199,3222,Converted paper product manufacturing,2007.25,0.0,0.0,,2007.25,5445.0,-739.0,-13.57208448117539
200,3231,Printing and related support activities,2010.5,774.0,47.0,6.072351421188631,2007.25,36136.0,-6703.0,-18.549369050254594
201,3241,Petroleum and coal products manufacturing,2010.25,2076.0,-2076.0,-100.0,2007.25,2447.0,-79.0,-3.228442991418063
202,3251,Basic chemical manufacturing,2007.25,0.0,0.0,,2007.25,3092.0,-73.0,-2.3609314359637774
203,3252,"Resin, rubber, and artificial fibers mfg.",2011.25,1547.0,24.0,1.5513897866839044,2014.75,1524.0,20.0,1.3123359580052494
204,3253,Agricultural chemical manufacturing,2007.25,0.0,0.0,,2011.0,1148.0,103.0,8.97212543554007
